Address_Range,Council_District,HPD_Beat,HPD_District,HPD_Division,Offense,Premise_Type,SNB_Name,SNB_No,Time_Begun,Full_time,Weekday,Month,Time,lat,lon,Estimated_Population
300-399 E 26TH,C,2A30,2,Central Division,Theft,Residence or House,GREATER HEIGHTS,15,1471560120000.0,2016-08-18 17:42:00,Thursday,August,17:42:00,29.810406899999997,-95.3958578,"173,195"
8600-8699 META,H,3B50,3,North Division,Auto Theft,Apartment Parking Lot,NORTHSIDE/NORTHLINE,45,1471957200000.0,2016-08-23 08:00:00,Tuesday,August,08:00:00,29.840038399999997,-95.3810589,"228,390"
1300-1399 TABOR,H,2A20,2,Central Division,Burglary,Residence or House,GREATER HEIGHTS,15,1470202800000.0,2016-08-03 00:40:00,Wednesday,August,00:40:00,29.802874300000003,-95.37724770000001,"173,195"
2500-2599 WASHINGTON,H,2A40,2,Central Division,Theft,"Other, Unknown, or Not Li",WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1470838740000.0,2016-08-10 09:19:00,Wednesday,August,09:19:00,29.768367600000005,-95.3838528,"173,195"
000-099 E CROSSTIMBERS,H,3B50,3,North Division,Theft,Miscellaneous Business (N,NORTHSIDE/NORTHLINE,45,1471026360000.0,2016-08-12 13:26:00,Friday,August,13:26:00,29.8285543,-95.3806261,"228,390"
200-299 28TH ,C,2A30,2,Central Division,Theft,Construction Site,GREATER HEIGHTS,15,1470243600000.0,2016-08-03 12:00:00,Wednesday,August,12:00:00,29.8121861,-95.39755770000001,"173,195"
700-799 PRESTON,I,1A10,1,Special Operations Division,Burglary,Construction Site,DOWNTOWN,61,1470997200000.0,2016-08-12 05:20:00,Friday,August,05:20:00,29.7630525,-95.3639295,"173,195"
200-299 PATTON,H,2A10,2,Central Division,Auto Theft,Service or Gas Station,NEAR NORTHSIDE,51,1470409200000.0,2016-08-05 10:00:00,Friday,August,10:00:00,29.7981249,-95.37028079999999,"173,195"
4700-4799 NORTH ,H,3B50,3,North Division,Auto Theft,"Pawn, Resale Shop, or Fle",NORTHSIDE/NORTHLINE,45,1469894640000.0,2016-07-30 11:04:00,Saturday,July,11:04:00,29.834611600000002,-95.3866177,"228,390"
3500-3599 KATY ,C,2A50,2,Central Division,Burglary,Rental Storage Facility,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1470916800000.0,2016-08-11 07:00:00,Thursday,August,07:00:00,29.781277799999998,-95.4382953,"173,195"
7300-7399 JENSEN,H,7C30,7,Northeast Division,Aggravated Assault,Apartment,EASTEX - JENSEN AREA,46,1470597840000.0,2016-08-07 14:24:00,Sunday,August,14:24:00,29.826193,-95.34259449999999,"250,444"
2200-2299 YALE,C,2A30,2,Central Division,Burglary,Construction Site,GREATER HEIGHTS,15,1470414600000.0,2016-08-05 11:30:00,Friday,August,11:30:00,29.806274199999997,-95.3989568,"173,195"
4400-4499 NORTH ,H,3B50,3,North Division,Theft,Alley,NORTHSIDE/NORTHLINE,45,1470594060000.0,2016-08-07 13:21:00,Sunday,August,13:21:00,29.828934399999998,-95.3796783,"228,390"
200-299 W 27TH,C,2A30,2,Central Division,Burglary,Garage or Carport,GREATER HEIGHTS,15,1470164400000.0,2016-08-02 14:00:00,Tuesday,August,14:00:00,29.811075800000005,-95.3994072,"173,195"
5600-5699 NECHES,H,7C20,7,Northeast Division,Burglary,Maintenance or Building S,EASTEX - JENSEN AREA,46,1471023000000.0,2016-08-12 12:30:00,Friday,August,12:30:00,29.812303999999997,-95.33702729999999,"250,444"
900-999 FRANKLIN,I,1A10,1,Special Operations Division,Auto Theft,"Road, Street, or Sidewalk",DOWNTOWN,61,1471779780000.0,2016-08-21 06:43:00,Sunday,August,06:43:00,29.763517999999998,-95.3610698,"173,195"
4300-4399 AIRLINE,H,3B40,3,North Division,Robbery,"Road, Street, or Sidewalk",INDEPENDENCE HEIGHTS,13,1471743000000.0,2016-08-20 20:30:00,Saturday,August,20:30:00,29.8278474,-95.38460740000001,"228,390"
700-799 GLENBURNIE,H,3B40,3,North Division,Murder,Convenience Store Parking,INDEPENDENCE HEIGHTS,13,1472236020000.0,2016-08-26 13:27:00,Friday,August,13:27:00,29.838564399999996,-95.3894525,"228,390"
4400-4499 NORTH ,H,3B50,3,North Division,Auto Theft,Strip Business Center Par,NORTHSIDE/NORTHLINE,45,1469907420000.0,2016-07-30 14:37:00,Saturday,July,14:37:00,29.828934399999998,-95.3796783,"228,390"
200-299 DORCHESTER,H,3B50,3,North Division,Auto Theft,"Road, Street, or Sidewalk",NORTHSIDE/NORTHLINE,45,1471505400000.0,2016-08-18 02:30:00,Thursday,August,02:30:00,29.822405800000002,-95.373649,"228,390"
4000-4099 EDDIE,B,7C20,7,Northeast Division,Auto Theft,Driveway,GREATER FIFTH WARD,55,1471339920000.0,2016-08-16 04:32:00,Tuesday,August,04:32:00,29.78626,-95.3310235,"250,444"
7900-7999 ROSWELL,H,3B50,3,North Division,Auto Theft,Residence or House,NORTHSIDE/NORTHLINE,45,1471071600000.0,2016-08-13 02:00:00,Saturday,August,02:00:00,29.8325813,-95.3692194,"228,390"
3200-3299 CACTUS,B,7C20,7,Northeast Division,Burglary,Residence or House,GREATER FIFTH WARD,55,1470001200000.0,2016-07-31 16:40:00,Sunday,July,16:40:00,29.7932244,-95.3371777,"250,444"
4400-4499 HERSHE,B,7C10,7,Northeast Division,Theft,"Road, Street, or Sidewalk",GREATER FIFTH WARD,55,1470690000000.0,2016-08-08 16:00:00,Monday,August,16:00:00,29.777586600000003,-95.3264875,"250,444"
100-199 YALE,C,2A30,2,Central Division,Theft,Grocery Store or Supermar,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1470233220000.0,2016-08-03 09:07:00,Wednesday,August,09:07:00,29.7717266,-95.3988981,"173,195"
1100-1199 W 15TH,C,2A30,2,Central Division,Burglary,Garage or Carport,GREATER HEIGHTS,15,1470483480000.0,2016-08-06 06:38:00,Saturday,August,06:38:00,29.7979005,-95.40844849999999,"173,195"
2900-2999 FULTON ST IB ,H,2A10,2,Central Division,Theft,Apartment Parking Lot,NEAR NORTHSIDE,51,1471639500000.0,2016-08-19 15:45:00,Friday,August,15:45:00,29.788056800000003,-95.3603373,"173,195"
3800-3899 WASHINGTON,H,2A50,2,Central Division,Robbery,Bank,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1472464800000.0,2016-08-29 05:00:00,Monday,August,05:00:00,29.770165000000002,-95.399097,"173,195"
1800-1899 PANNELL,B,7C10,7,Northeast Division,Robbery,"Road, Street, or Sidewalk",GREATER FIFTH WARD,55,1470677940000.0,2016-08-08 12:39:00,Monday,August,12:39:00,29.7779502,-95.33220820000001,"250,444"
5100-5199 CHAPMAN,H,2A10,2,Central Division,Robbery,Residence or House,NEAR NORTHSIDE,51,1472396400000.0,2016-08-28 10:00:00,Sunday,August,10:00:00,29.8059646,-95.3544339,"173,195"
4600-4699 IRVINGTON,H,2A10,2,Central Division,Theft,"Laundry, Dry Cleaners, Wa",NEAR NORTHSIDE,51,1472397960000.0,2016-08-28 10:26:00,Sunday,August,10:26:00,29.801692499999998,-95.3609661,"173,195"
3300-3399 MELBOURNE,H,7C20,7,Northeast Division,Aggravated Assault,Apartment,EASTEX - JENSEN AREA,46,1469912400000.0,2016-07-30 16:00:00,Saturday,July,16:00:00,29.8170782,-95.33830090000001,"250,444"
2200-2299 YALE,C,2A30,2,Central Division,Theft,Residence or House,GREATER HEIGHTS,15,1472241600000.0,2016-08-26 15:00:00,Friday,August,15:00:00,29.806274199999997,-95.3989568,"173,195"
1000-1099 SYDNOR,B,7C10,7,Northeast Division,Rape,Residence or House,GREATER FIFTH WARD,55,1470315060000.0,2016-08-04 07:51:00,Thursday,August,07:51:00,29.770094300000004,-95.3379061,"250,444"
200-299 W 32ND,H,3B30,3,North Division,Theft,Residence or House,CENTRAL NORTHWEST,12,1469903760000.0,2016-07-30 13:36:00,Saturday,July,13:36:00,29.8160826,-95.3994988,"228,390"
2500-2599 SHEARN,H,2A40,2,Central Division,Theft,Department or Discount St,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1470078900000.0,2016-08-01 14:15:00,Monday,August,14:15:00,29.7744114,-95.3825557,"173,195"
200-299 W 17TH,C,2A30,2,Central Division,Theft,Apartment Parking Lot,GREATER HEIGHTS,15,1470295080000.0,2016-08-04 02:18:00,Thursday,August,02:18:00,29.800887,-95.3991971,"173,195"
400-499 GARDEN OAKS,H,3B40,3,North Division,Theft,Miscellaneous Business (N,INDEPENDENCE HEIGHTS,13,1471440600000.0,2016-08-17 08:30:00,Wednesday,August,08:30:00,29.8259904,-95.4061305,"228,390"
1300-1399 BONNER,C,2A50,2,Central Division,Theft,Driveway,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1471742100000.0,2016-08-20 20:15:00,Saturday,August,20:15:00,29.7730348,-95.4022548,"173,195"
400-499 BAGBY,I,1A10,1,Special Operations Division,Theft,Restaurant or Cafeteria,DOWNTOWN,61,1470505500000.0,2016-08-06 12:45:00,Saturday,August,12:45:00,29.764687300000002,-95.3666517,"173,195"
1600-1699 LAWRENCE,C,2A30,2,Central Division,Burglary,Residence or House,GREATER HEIGHTS,15,1471417500000.0,2016-08-17 02:05:00,Wednesday,August,02:05:00,29.799773699999996,-95.4079557,"173,195"
800-899 MAIN ST OB,I,1A10,1,Special Operations Division,Theft,"Road, Street, or Sidewalk",DOWNTOWN,61,1469917800000.0,2016-07-30 17:30:00,Saturday,July,17:30:00,29.758501300000002,-95.3638261,"173,195"
600-699 HESLEP,H,2A20,2,Central Division,Auto Theft,"Road, Street, or Sidewalk",GREATER HEIGHTS,15,1469912400000.0,2016-07-30 16:00:00,Saturday,July,16:00:00,29.797167100000003,-95.37298179999999,"173,195"
4200-4299 WIPPRECHT,B,7C20,7,Northeast Division,Aggravated Assault,Apartment,KASHMERE GARDENS,52,1469917800000.0,2016-07-30 17:30:00,Saturday,July,17:30:00,29.798467,-95.3222868,"250,444"
7300-7399 JENSEN,H,7C30,7,Northeast Division,Burglary,Apartment,EASTEX - JENSEN AREA,46,1470694080000.0,2016-08-08 17:08:00,Monday,August,17:08:00,29.826193,-95.34259449999999,"250,444"
1500-1599 COLORADO,H,2A40,2,Central Division,Theft,Strip Business Center Par,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1470058800000.0,2016-08-01 08:40:00,Monday,August,08:40:00,29.7714956,-95.3746947,"173,195"
4400-4499 NORTH ,H,3B50,3,North Division,Theft,Grocery Store or Supermar,NORTHSIDE/NORTHLINE,45,1470843180000.0,2016-08-10 10:33:00,Wednesday,August,10:33:00,29.828934399999998,-95.3796783,"228,390"
7500-7599 HIRSCH,H,8C10,8,Northeast Division,Burglary,"Church, Synagogue, or Tem",TRINITY / HOUSTON GARDENS,48,1470952800000.0,2016-08-11 17:00:00,Thursday,August,17:00:00,29.828241700000003,-95.3281471,"250,444"
100-199 E CROSSTIMBERS,H,3B50,3,North Division,Theft,Restaurant or Cafeteria,NORTHSIDE/NORTHLINE,45,1471614000000.0,2016-08-19 08:40:00,Friday,August,08:40:00,29.8280157,-95.37566109999999,"228,390"
2600-2699 NORHILL,H,2A30,2,Central Division,Theft,"Road, Street, or Sidewalk",GREATER HEIGHTS,15,1469916000000.0,2016-07-30 17:00:00,Saturday,July,17:00:00,29.7816652,-95.3859268,"173,195"
1100-1199 TEXAS,I,1A10,1,Special Operations Division,Theft,"Road, Street, or Sidewalk",DOWNTOWN,61,1470070680000.0,2016-08-01 11:58:00,Monday,August,11:58:00,29.7590664,-95.3616074,"173,195"
1100-1199 TEXAS,I,1A10,1,Special Operations Division,Theft,Apartment,DOWNTOWN,61,1470131400000.0,2016-08-02 04:50:00,Tuesday,August,04:50:00,29.7590664,-95.3616074,"173,195"
900-999 N DURHAM,C,2A60,2,Central Division,Theft,Miscellaneous Business (N,GREATER HEIGHTS,15,1471081800000.0,2016-08-13 04:50:00,Saturday,August,04:50:00,29.786222499999997,-95.41103259999998,"173,195"
2900-2999 FULTON ST IB ,H,2A10,2,Central Division,Auto Theft,Convenience Store Parking,NEAR NORTHSIDE,51,1471042800000.0,2016-08-12 18:00:00,Friday,August,18:00:00,29.788056800000003,-95.3603373,"173,195"
700-799 FANNIN,I,1A10,1,Special Operations Division,Theft,Bar or Night Club,DOWNTOWN,61,1470254400000.0,2016-08-03 15:00:00,Wednesday,August,15:00:00,29.7586652,-95.362308,"173,195"
4400-4499 NORTH ,H,3B50,3,North Division,Auto Theft,Strip Business Center Par,NORTHSIDE/NORTHLINE,45,1471636800000.0,2016-08-19 15:00:00,Friday,August,15:00:00,29.828934399999998,-95.3796783,"228,390"
1400-1499 HERKIMER,C,2A30,2,Central Division,Theft,Driveway,GREATER HEIGHTS,15,1469908800000.0,2016-07-30 15:00:00,Saturday,July,15:00:00,29.796114199999998,-95.40627140000001,"173,195"
800-899 CARL,H,2A10,2,Central Division,Aggravated Assault,"Road, Street, or Sidewalk",NEAR NORTHSIDE,51,1469943660000.0,2016-07-31 00:41:00,Sunday,July,00:41:00,29.783175399999994,-95.3631473,"173,195"
1400-1499 COLORADO,H,2A40,2,Central Division,Theft,Residence or House,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1471512600000.0,2016-08-18 04:30:00,Thursday,August,04:30:00,29.770778399999998,-95.3746823,"173,195"
2500-2599 CENTER,H,2A40,2,Central Division,Theft,"Road, Street, or Sidewalk",WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1470483900000.0,2016-08-06 06:45:00,Saturday,August,06:45:00,29.769630199999998,-95.3842198,"173,195"
000-099 RIESNER,H,2A40,2,Central Division,Theft,Residence or House,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1472457720000.0,2016-08-29 03:02:00,Monday,August,03:02:00,29.7650752,-95.37125350000001,"173,195"
1900-1999 MARY,B,7C10,7,Northeast Division,Auto Theft,Residence or House,GREATER FIFTH WARD,55,1470476400000.0,2016-08-06 04:40:00,Saturday,August,04:40:00,29.778557300000003,-95.3466491,"250,444"
200-299 N LOOP W,H,3B30,3,North Division,Theft,Service or Gas Station,CENTRAL NORTHWEST,12,1470591060000.0,2016-08-07 12:31:00,Sunday,August,12:31:00,29.8126897,-95.3975653,"228,390"
8600-8699 IRVINGTON,H,3B50,3,North Division,Theft,"Electronics Store, Electr",NORTHSIDE/NORTHLINE,45,1471268220000.0,2016-08-15 08:37:00,Monday,August,08:37:00,29.8376703,-95.361468,"228,390"
2300-2399 KNIGHT,H,7C30,7,Northeast Division,Robbery,"Road, Street, or Sidewalk",EASTEX - JENSEN AREA,46,1472428260000.0,2016-08-28 18:51:00,Sunday,August,18:51:00,29.8404839,-95.3502772,"250,444"
4400-4499 IRVINGTON,H,2A10,2,Central Division,Theft,Service or Gas Station,NEAR NORTHSIDE,51,1470410820000.0,2016-08-05 10:27:00,Friday,August,10:27:00,29.799981899999995,-95.36094,"173,195"
1500-1599 STUDEMONT,H,2A50,2,Central Division,Aggravated Assault,"Road, Street, or Sidewalk",WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1470927600000.0,2016-08-11 10:00:00,Thursday,August,10:00:00,29.7752385,-95.3898125,"173,195"
4600-4699 PARDEE,B,7C20,7,Northeast Division,Theft,"Road, Street, or Sidewalk",KASHMERE GARDENS,52,1470735120000.0,2016-08-09 04:32:00,Tuesday,August,04:32:00,29.805847200000002,-95.3241718,"250,444"
3500-3599 IRVINGTON,H,2A10,2,Central Division,Aggravated Assault,Restaurant or Cafeteria,NEAR NORTHSIDE,51,1470444480000.0,2016-08-05 19:48:00,Friday,August,19:48:00,29.792321100000002,-95.3608202,"173,195"
4400-4499 NORTH ,H,3B50,3,North Division,Theft,Commercial Parking Lot or,NORTHSIDE/NORTHLINE,45,1470732720000.0,2016-08-09 03:52:00,Tuesday,August,03:52:00,29.828934399999998,-95.3796783,"228,390"
2400-2499 EASTEX ,B,7C20,7,Northeast Division,Burglary,"Church, Synagogue, or Tem",GREATER FIFTH WARD,55,1471676400000.0,2016-08-20 02:00:00,Saturday,August,02:00:00,29.783648200000002,-95.33929429999999,"250,444"
400-499 FAIRBANKS,H,2A20,2,Central Division,Theft,Residence or House,NEAR NORTHSIDE,51,1470547080000.0,2016-08-07 00:18:00,Sunday,August,00:18:00,29.810072899999998,-95.3669124,"173,195"
2700-2799 RUTLAND,C,2A30,2,Central Division,Auto Theft,"Road, Street, or Sidewalk",GREATER HEIGHTS,15,1470658920000.0,2016-08-08 07:22:00,Monday,August,07:22:00,29.811051399999997,-95.40156390000001,"173,195"
600-699 W SAWYER,H,2A40,2,Central Division,Theft,Office Building,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1470906000000.0,2016-08-11 04:00:00,Thursday,August,04:00:00,29.7657597,-95.3823697,"173,195"
1300-1399 BROOKS,H,2A10,2,Central Division,Theft,"Road, Street, or Sidewalk",NEAR NORTHSIDE,51,1469889600000.0,2016-07-30 09:40:00,Saturday,July,09:40:00,29.7753793,-95.3546059,"173,195"
1200-1299 DART,H,2A40,2,Central Division,Burglary,Fire Station,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1471914000000.0,2016-08-22 20:00:00,Monday,August,20:00:00,29.770101699999998,-95.3689637,"173,195"
4100-4199 WIPPRECHT,B,7C20,7,Northeast Division,Burglary,Residence or House,KASHMERE GARDENS,52,1470263460000.0,2016-08-03 17:31:00,Wednesday,August,17:31:00,29.797930400000002,-95.32227879999999,"250,444"
300-399 LINK ,H,2A20,2,Central Division,Theft,"Road, Street, or Sidewalk",NEAR NORTHSIDE,51,1470233400000.0,2016-08-03 09:10:00,Wednesday,August,09:10:00,29.8075657,-95.3710614,"173,195"
300-399 BERRY,H,3B50,3,North Division,Auto Theft,Apartment Parking Lot,NORTHSIDE/NORTHLINE,45,1470138420000.0,2016-08-02 06:47:00,Tuesday,August,06:47:00,29.837535100000004,-95.37148459999999,"228,390"
4100-4199 CAVALCADE,B,7C20,7,Northeast Division,Burglary,Convenience Store,KASHMERE GARDENS,52,1470285060000.0,2016-08-03 23:31:00,Wednesday,August,23:31:00,29.8001411,-95.3305775,"250,444"
400-499 E 4TH,C,2A30,2,Central Division,Theft,Residence or House,GREATER HEIGHTS,15,1472245200000.0,2016-08-26 16:00:00,Friday,August,16:00:00,29.777824600000006,-95.3939493,"173,195"
600-699 W CAVALCADE,H,2A20,2,Central Division,Theft,Convenience Store,GREATER HEIGHTS,15,1470082080000.0,2016-08-01 15:08:00,Monday,August,15:08:00,29.803986199999997,-95.3781255,"173,195"
2600-2699 QUITMAN,B,7C10,7,Northeast Division,Aggravated Assault,Residence or House,GREATER FIFTH WARD,55,1470711600000.0,2016-08-08 22:00:00,Monday,August,22:00:00,29.78302,-95.3436679,"250,444"
400-499 ORIOLE,H,3B40,3,North Division,Burglary,Commercial Building,INDEPENDENCE HEIGHTS,13,1471971600000.0,2016-08-23 12:00:00,Tuesday,August,12:00:00,29.8235548,-95.40267800000001,"228,390"
200-299 W 8TH,C,2A30,2,Central Division,Burglary,"Multi-Plex Home (Duplex,T",GREATER HEIGHTS,15,1469876280000.0,2016-07-30 05:58:00,Saturday,July,05:58:00,29.7851277,-95.39889529999999,"173,195"
2000-2099 SPENCE,H,7C30,7,Northeast Division,Robbery,"Road, Street, or Sidewalk",EASTEX - JENSEN AREA,46,1470418920000.0,2016-08-05 12:42:00,Friday,August,12:42:00,29.821022499999998,-95.3492682,"250,444"
7500-7599 HIRSCH,H,8C10,8,Northeast Division,Burglary,"Church, Synagogue, or Tem",TRINITY / HOUSTON GARDENS,48,1470313740000.0,2016-08-04 07:29:00,Thursday,August,07:29:00,29.828241700000003,-95.3281471,"250,444"
300-399 W 19TH,C,2A30,2,Central Division,Burglary,Apartment,GREATER HEIGHTS,15,1470139200000.0,2016-08-02 07:00:00,Tuesday,August,07:00:00,29.8028904,-95.40142809999999,"173,195"
3500-3599 EASTEX ,B,7C20,7,Northeast Division,Theft,Service or Gas Station,KASHMERE GARDENS,52,1470151500000.0,2016-08-02 10:25:00,Tuesday,August,10:25:00,29.796371999999998,-95.338835,"250,444"
2100-2199 MEMORIAL DR OB ,H,2A40,2,Central Division,Theft,Apartment Parking Lot,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1470319200000.0,2016-08-04 09:00:00,Thursday,August,09:00:00,29.763727799999998,-95.3799005,"173,195"
2200-2299 GANO,H,2A10,2,Central Division,Theft,Driveway,NEAR NORTHSIDE,51,1469858760000.0,2016-07-30 01:06:00,Saturday,July,01:06:00,29.7814122,-95.35466740000001,"173,195"
1100-1199 GREGG,B,7C10,7,Northeast Division,Burglary,Apartment,GREATER FIFTH WARD,55,1471590000000.0,2016-08-19 02:00:00,Friday,August,02:00:00,29.7706568,-95.33573179999999,"250,444"
900-999 TULANE,C,2A30,2,Central Division,Theft,Residence or House,GREATER HEIGHTS,15,1470168000000.0,2016-08-02 15:00:00,Tuesday,August,15:00:00,29.786955,-95.4022099,"173,195"
1200-1299 CONGRESS,I,1A10,1,Special Operations Division,Theft,"Road, Street, or Sidewalk",DOWNTOWN,61,1472115300000.0,2016-08-25 03:55:00,Thursday,August,03:55:00,29.760754600000002,-95.358721,"173,195"
7100-7199 APPLETON,H,3B50,3,North Division,Theft,Residence or House,NORTHSIDE/NORTHLINE,45,1470138540000.0,2016-08-02 06:49:00,Tuesday,August,06:49:00,29.8237973,-95.36764720000001,"228,390"
3100-3199 MAURY,H,2A10,2,Central Division,Auto Theft,Residence or House,NEAR NORTHSIDE,51,1470055500000.0,2016-08-01 07:45:00,Monday,August,07:45:00,29.7924183,-95.35015340000001,"173,195"
7500-7599 BAUMAN RD,H,3B50,3,North Division,Burglary,Apartment,NORTHSIDE/NORTHLINE,45,1471049640000.0,2016-08-12 19:54:00,Friday,August,19:54:00,29.830195399999997,-95.3707037,"228,390"
600-699 W 20TH,C,2A30,2,Central Division,Theft,Residence or House,GREATER HEIGHTS,15,1470650940000.0,2016-08-08 05:09:00,Monday,August,05:09:00,29.8038147,-95.40806009999999,"173,195"
100-199 W 13TH,C,2A30,2,Central Division,Theft,Residence or House,GREATER HEIGHTS,15,1469898000000.0,2016-07-30 12:00:00,Saturday,July,12:00:00,29.794357399999996,-95.3979245,"173,195"
800-899 PENNINGTON,H,3B50,3,North Division,Aggravated Assault,"Road, Street, or Sidewalk",NORTHSIDE/NORTHLINE,45,1472424300000.0,2016-08-28 17:45:00,Sunday,August,17:45:00,29.8443467,-95.3649453,"228,390"
400-499 N LOOP W,C,2A30,2,Central Division,Theft,Service or Gas Station,GREATER HEIGHTS,15,1470179580000.0,2016-08-02 18:13:00,Tuesday,August,18:13:00,29.813273100000004,-95.4038363,"173,195"
2000-2099 WORMS,B,7C10,7,Northeast Division,Auto Theft,Residence or House,GREATER FIFTH WARD,55,1472423400000.0,2016-08-28 17:30:00,Sunday,August,17:30:00,29.779943100000004,-95.3313958,"250,444"
4400-4499 NORTH ,H,3B50,3,North Division,Auto Theft,Grocery Store or Supermar,NORTHSIDE/NORTHLINE,45,1469885400000.0,2016-07-30 08:30:00,Saturday,July,08:30:00,29.828934399999998,-95.3796783,"228,390"
600-699 MERRILL,H,2A30,2,Central Division,Theft,Driveway,GREATER HEIGHTS,15,1471284000000.0,2016-08-15 13:00:00,Monday,August,13:00:00,29.788942,-95.3778941,"173,195"
1800-1899 RUIZ,H,1A10,1,Special Operations Division,Theft,"Road, Street, or Sidewalk",DOWNTOWN,61,1471392060000.0,2016-08-16 19:01:00,Tuesday,August,19:01:00,29.7603706,-95.35208409999998,"173,195"
100-199 YALE ,C,2A50,2,Central Division,Theft,Department or Discount St,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1471115760000.0,2016-08-13 14:16:00,Saturday,August,14:16:00,29.7717266,-95.3988981,"173,195"
3300-3399 PERSIMMON,H,7C30,7,Northeast Division,Burglary,Apartment,EASTEX - JENSEN AREA,46,1471233600000.0,2016-08-14 23:00:00,Sunday,August,23:00:00,29.8329626,-95.3362176,"250,444"
600-699 MEADOW,B,7C10,7,Northeast Division,Theft,"Road, Street, or Sidewalk",GREATER FIFTH WARD,55,1471370400000.0,2016-08-16 13:00:00,Tuesday,August,13:00:00,29.767537899999997,-95.3394683,"250,444"
1900-1999 GANO,H,2A10,2,Central Division,Aggravated Assault,Residence or House,NEAR NORTHSIDE,51,1469932740000.0,2016-07-30 21:39:00,Saturday,July,21:39:00,29.7783344,-95.3546321,"173,195"
4400-4499 NORTH ,H,3B50,3,North Division,Theft,Department or Discount St,NORTHSIDE/NORTHLINE,45,1471781640000.0,2016-08-21 07:14:00,Sunday,August,07:14:00,29.828934399999998,-95.3796783,"228,390"
800-899 GREGG,B,7C10,7,Northeast Division,Robbery,"Road, Street, or Sidewalk",GREATER FIFTH WARD,55,1471563600000.0,2016-08-18 18:40:00,Thursday,August,18:40:00,29.768687,-95.3356327,"250,444"
3500-3599 DATE,H,7C20,7,Northeast Division,Robbery,Convenience Store Parking,KASHMERE GARDENS,52,1471449000000.0,2016-08-17 10:50:00,Wednesday,August,10:50:00,29.794449199999995,-95.3412009,"250,444"
800-899 42ND ,H,3B40,3,North Division,Theft,Driveway,INDEPENDENCE HEIGHTS,13,1469930400000.0,2016-07-30 21:00:00,Saturday,July,21:00:00,29.825275199999997,-95.4152474,"228,390"
400-499 E CROSSTIMBERS,H,3B50,3,North Division,Robbery,Restaurant or Cafeteria P,NORTHSIDE/NORTHLINE,45,1471627740000.0,2016-08-19 12:29:00,Friday,August,12:29:00,29.828374699999998,-95.3695656,"228,390"
1000-1099 COLUMBIA,C,2A30,2,Central Division,Theft,Driveway,GREATER HEIGHTS,15,1470078000000.0,2016-08-01 14:00:00,Monday,August,14:00:00,29.7889317,-95.39305759999999,"173,195"
2500-2599 SHEARN,H,2A40,2,Central Division,Theft,Department or Discount St,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1471100400000.0,2016-08-13 10:00:00,Saturday,August,10:00:00,29.7744114,-95.3825557,"173,195"
1000-1099 BAGBY,I,1A10,1,Special Operations Division,Theft,Other Parking Lot,DOWNTOWN,61,1470938040000.0,2016-08-11 12:54:00,Thursday,August,12:54:00,29.7601375,-95.3716402,"173,195"
1200-1299 SUMMER,H,2A40,2,Central Division,Theft,"Road, Street, or Sidewalk",WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1471982400000.0,2016-08-23 15:00:00,Tuesday,August,15:00:00,29.7730364,-95.36901,"173,195"
1700-1799 EDWARDS,H,2A40,2,Central Division,Theft,Driveway,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1470301200000.0,2016-08-04 04:00:00,Thursday,August,04:00:00,29.770787199999997,-95.3747126,"173,195"
500-599 TEXAS,I,1A10,1,Special Operations Division,Theft,"Theatres, Dinner Theaters",DOWNTOWN,61,1470510000000.0,2016-08-06 14:00:00,Saturday,August,14:00:00,29.762319,-95.36723520000001,"173,195"
4100-4199 N MAIN,H,2A20,2,Central Division,Aggravated Assault,"Road, Street, or Sidewalk",GREATER HEIGHTS,15,1470858840000.0,2016-08-10 14:54:00,Wednesday,August,14:54:00,29.794100899999997,-95.3773848,"173,195"
4400-4499 NORTH ,H,3B50,3,North Division,Auto Theft,Mall Parking Lot,NORTHSIDE/NORTHLINE,45,1470001680000.0,2016-07-31 16:48:00,Sunday,July,16:48:00,29.828934399999998,-95.3796783,"228,390"
900-999 YORKSHIRE,H,3B50,3,North Division,Theft,Residence or House,NORTHSIDE/NORTHLINE,45,1472371200000.0,2016-08-28 03:00:00,Sunday,August,03:00:00,29.827690500000003,-95.36003240000001,"228,390"
